,Property_Name,Location,Property_Type,Room_Type,Price,Rating,Reviews,Free_Cancellation
0,Ronnie's Studio Apartment,Arpora,Entire apartment,Apartment with Balcony,4749,6.9,203,No
1,Courtyard Di-Mar,Calangute,Private suite,Superior Suite,8000,8.9,88,Yes
2,Susegad Suites Goa Apartments & Villas with Reserved Parking,Arpora,Entire apartment,1BHK Apartment with Balcony,9750,9.2,133,Yes
3,Resort Paloma De Goa,Colva,Entire apartment,One-Bedroom Apartment,6363,6.6,138,No
4,EKOSTAY Luxe I Avante Villa,Calangute,Entire villa,Villa with Private Pool,49500,9.0,5,Yes
5,"Jungle Hut-Annabelle's Beach Apartments at Bernard Simao,Calangute,Goa",Candolim,Entire apartment,Standard Apartment,13860,9.0,114,Yes
6,Exotic star 1 BHK 2BHK Apartment,Socorro,Entire apartment,One-Bedroom Apartment with Balcony,3203,7.3,28,Yes
7,The Astor - All Suites Hotel Candolim Goa,Candolim,Private suite,Astor Suite (Balcony With City View) - High Tea@ Deck 88 from 3 to 5 pm,23262,9.1,523,No
8,Hermitage Riviera,Arpora,Entire apartment,Apartment with Garden View,10000,8.8,102,Yes
9,Mamagoa Beach Resort,Mandrem,Entire villa,Villa with Sea View,30000,9.2,289,No
10,"Riverside, The European Homestay 1 and 2! Luxury and Value in Goa's delightful location",Agarvado,Entire apartment,One-Bedroom Apartment,5320,9.2,57,No
11,Beach 7 mins walk Luxury villa Diva,Calangute,Entire villa,Two-Bedroom Villa,28000,10,15,Yes
12,Aarju Luxurious Stay Calangute,Calangute,Entire apartment,One-Bedroom Apartment,9900,8.7,82,No
13,Mistral Holidays Near Trinity Beach & Benaulim Beach,Benaulim,Entire apartment,One-Bedroom Apartment with Balcony,9900,8.9,259,Yes
14,Mistral by the sea,Benaulim,Entire apartment,Apartment with View and Balcony,21600,9.2,168,Yes
15,Viik wellness inn -3 Star Resort in Arambol Beach,Arambol,Entire apartment,Suite Apartment,15298,7.9,100,Yes
16,Ziva Suites - A Botique Hotel,Siolim,Entire studio,Studio with Balcony,12802,9.0,12,No
17,Blue rays,Calangute,Entire apartment,One-Bedroom Apartment,3058,6.8,153,Yes
18,"Sandbanks Beach Villas, Morjim",Morjim,Entire villa,Villa,20582,9.4,131,No
19,Costantina - Agonda Beach,Agonda,Entire apartment,Apartment with Garden View,5000,7.9,98,No
20,Olive Hotel Calangute Niwasa by Embassy Group,Calangute,Entire studio,Studio with Balcony,6566,8.3,278,Yes
21,"La Mer with Pool, Kitchen, Wifi & Security, 10 mins to Candolim Beach & 5 mins to Casino",Nerul,Entire studio,LaMer-Designer Studio,11344,9.3,9,Yes
22,EKO STAY - Woodlock Apartment,Candolim,Entire apartment,Two-Bedroom Apartment,8910,7.7,17,Yes
23,Nistula Luxury Villas and Apartments,Assagao,Entire apartment,Two-Bedroom Apartment,15990,10,3,Yes
24,EKOSTAY - SIGNATURE Apartment,Candolim,Entire apartment,Apartment - Ground Floor,9720,7.5,24,Yes
25,2bhk apartment baga with kitchen,North goa,Entire apartment,Two-Bedroom Apartment,10800,8.5,4,No
26,SPACELAND Mandrem,Mandrem,Entire apartment,Penthouse Apartment,4800,7.7,190,Yes
27,Dimaru Boutique Courtyard,Calangute,Private suite,One-Bedroom Suite,10400,8.4,500,Yes
28,Novotel Goa Dona Sylvia Resort,Cavelossim,Entire villa,Executive King Room - 4 pints of beer bucket per stay,26885,8.5,383,No
29,Casa Almeida by Legends Hotels,Candolim,Private suite,Suite with Hot Tub,8100,6.5,72,Yes
30,Agonda Serenity Beach Villa,Agonda,Entire villa,Villa with Sea View,20340,8.9,169,Yes
31,Baga beach Homestay near Titos 311,Baga,Entire apartment,One-Bedroom Apartment,6000,9.0,1,Yes
32,"J-House, spacious apartments with balconies, Thalassa 1min away",Siolim,Entire apartment,One-Bedroom Apartment,3200,7.8,57,Yes
33,"Azora by Ayatana, Goa",Morjim,Entire villa,Jaunty Jacuzzi Villa,17626,8.7,109,Yes
34,Goa Marriott Resort & Spa,Panaji,Private suite,One-Bedroom Suite with Bay View,63700,8.4,380,Yes
35,"Villa 15 WSN, Parra- 3BHK Pool View",Parra,Entire villa,Three-Bedroom Villa,18000,7.2,19,Yes
36,Hotel Lotus,Candolim,Private suite,Suite with Balcony,14720,8.5,215,Yes
37,Holiday Inn Goa Candolim,Candolim,Private suite,Two-Bedroom Suite with Balcony and Sunrise View,53853,8.3,362,No
38,Joel's River Wood,Pernem,Private suite,Deluxe Queen Suite,3800,9.7,20,No
39,The Bay Agonda,Agonda,Entire villa,Sea View Villas,19750,8.6,350,Yes
40,AR APARTMENTS -Siolim,Oxel,Entire apartment,Studio Apartment,4129,5.8,7,Yes
41,Beach Edge Calangute,Calangute,Entire studio,Deluxe King Studio,7000,7.7,245,Yes
42,EKOSTAY - Copacabana Villa,North goa,Entire villa,Villa with Private Pool,15840,9.5,2,Yes
43,"Peaceful Studio in Cavelossim, 9 mins to beach",Ambelim,Entire apartment,One-Bedroom Apartment,4320,9.8,7,Yes
